"receiver_player_id","receiver_player_name","posteam","targets","receptions","rec_yards","rec_tds","epa_per_target","yards_per_reception","first_downs","catch_rate","yards_per_target","team_color"
"00-0037112","J.Tonges","SF",46,34,293,5,0.309044570639622,6.3695652173913,21,0.739130434782609,6.3695652173913,"#AA0000"
"00-0039424","D.Vele","NO",40,25,293,2,0.420288630557846,7.325,19,0.625,7.325,"#D3BC8D"
"00-0036973","T.Etienne","JAX",52,36,292,6,0.175933133517482,5.61538461538461,14,0.692307692307692,5.61538461538461,"#006778"
"00-0040138","J.Noel","HOU",35,26,292,2,0.404999180580791,8.34285714285714,13,0.742857142857143,8.34285714285714,"#03202F"
"00-0037248","J.Cook","BUF",40,33,291,2,0.216800553994108,7.275,11,0.825,7.275,"#00338D"
"00-0036275","D.Swift","CHI",48,34,290,1,-0.032663545365596,6.04166666666667,11,0.708333333333333,6.04166666666667,"#0B162A"
"00-0032464","K.Raymond","DET",30,24,289,1,0.506836100594774,9.63333333333333,14,0.8,9.63333333333333,"#0076B6"
"00-0035644","N.Fant","CIN",41,34,288,6,-0.287409634739042,7.02439024390244,13,0.829268292682927,7.02439024390244,"#FB4F14"
"00-0039384","T.Tracy","NYG",48,36,288,2,0.000845122021521733,6,14,0.75,6,"#0B2265"
"00-0031610","D.Waller","MIA",35,24,283,6,0.807606714760605,8.08571428571429,19,0.685714285714286,8.08571428571429,"#008E97"
"00-0035700","J.Jacobs","GB",44,36,282,1,0.269273525908854,6.40909090909091,9,0.818181818181818,6.40909090909091,"#203731"
"00-0038134","K.Walker","SEA",36,31,282,0,0.189984928209487,7.83333333333333,12,0.861111111111111,7.83333333333333,"#002244"
"00-0033110","T.Higbee","LA",36,25,281,3,0.260701249758323,7.80555555555556,17,0.694444444444444,7.80555555555556,"#003594"
"00-0037840","K.Williams","LA",50,36,281,3,0.170773499709518,5.62,13,0.72,5.62,"#003594"
"00-0032775","D.Robinson","SF",36,22,278,1,0.210320396195323,7.66666666666667,15,0.611111111111111,7.72222222222222,"#AA0000"
